ip	cid	js	dat	geo
238.33.153.252	63	1816330675	15:4	4
90.112.165.65	53	946484184	6:12	5
105.205.77.216	71	1716971311	20:12	5
48.212.173.105	65	1320519610	23:10	0
248.82.205.212	51	862406181	1:6	0
160.148.122.246	54	1874520146	28:3	5
92.171.82.180	76	2132389211	10:4	2
41.104.232.174	8	1431739634	24:9	6
234.129.150.159	81	1738538017	0:5	2
44.63.140.97	58	492007136	19:7	5
121.61.42.198	82	1240689251	20:6	0
190.189.0.148	77	1957464004	21:3	5
79.248.13.157	44	1617337933	30:9	2
143.185.75.114	55	1839684695	15:3	1
28.196.173.169	23	612468385	3:7	7
65.217.213.250	81	1155660633	26:8	3
49.79.86.79	78	312544747	8:3	8
178.149.15.124	71	1959375717	14:3	6
176.58.183.103	73	1738538017	17:5	0
245.191.91.154	5	166254067	1:6	0
23.195.15.254	47	446710173	0:11	1
69.78.196.63	85	1736168045	7:3	0
158.36.133.7	89	281279643	17:1	6
243.17.39.127	16	542482894	23:3	6
185.26.91.222	7	859043654	27:8	0
250.154.192.169	70	395274753	20:4	3
42.48.108.227	73	470078420	21:1	2
184.10.157.112	50	15042479	1:8	4
225.231.140.73	72	270371595	18:2	5
238.247.210.21	72	1494038011	11:6	1
214.34.254.21	50	1892187076	23:3	7
45.104.83.96	94	2088664333	6:11	6
182.66.176.8	96	2109027703	9:12	3
235.125.248.84	26	392745785	7:2	3
132.136.228.48	34	43872538	29:2	6
34.82.239.225	62	1994987482	24:7	3
124.38.250.56	8	1788875454	11:6	7
139.50.63.199	73	1132112884	22:5	2
84.125.171.124	78	863101594	26:3	8
219.232.161.137	25	60625390	12:2	0
113.217.95.195	63	1243772185	9:2	4
55.4.198.171	86	681809084	23:11	1
13.198.145.174	9	1785808	30:2	2
4.239.13.7	45	1801266704	16:3	6
70.50.69.42	23	520692815	14:2	1
72.86.112.60	23	1610765331	7:7	5
197.46.83.199	2	976032222	0:12	3
49.26.145.49	82	1655476385	4:11	2
44.44.251.71	98	192236629	20:11	8
60.225.60.127	97	1554116261	2:7	5
53.246.158.157	76	2123247728	2:11	8
73.215.126.234	31	1509957094	21:11	5
210.127.242.143	98	774503691	30:5	4
145.113.58.98	79	2107650593	1:7	5
142.36.208.24	22	1272677585	30:12	2
105.206.48.175	63	1552830449	3:4	2
187.118.100.48	3	1500462375	30:6	4
140.17.69.88	94	538876086	9:2	2
65.53.38.215	76	12168470	1:9	2
168.234.146.189	81	1601029676	23:7	2
34.209.53.26	80	592826927	9:6	5
244.121.189.219	15	956055339	18:10	2
112.55.65.189	39	920318328	28:9	8
82.131.175.17	20	803647619	14:12	4
54.24.89.118	9	1312817055	6:9	8
226.153.75.86	74	243156892	6:8	7
231.95.186.239	10	1272257983	17:10	4
1.122.103.219	7	119257132	24:10	7
46.40.84.253	28	271490858	28:7	5
218.172.146.97	70	1993122510	9:12	4
64.163.138.105	76	1326117080	20:5	7
98.106.136.147	4	504915989	22:1	2
106.41.221.231	61	244257821	13:1	7
187.54.240.75	21	505666096	26:2	6
237.149.193.143	84	1745286280	29:4	1
230.13.67.38	53	1300676330	15:11	1
51.102.243.204	57	474332126	14:1	1
36.24.244.251	67	1433474158	5:9	7
248.96.153.213	77	953265978	20:11	8
236.15.196.227	64	929772737	26:12	2
95.218.148.178	73	194092435	23:1	1
136.168.62.140	97	1885089457	11:3	4
210.0.60.50	69	875250164	4:6	7
238.135.47.64	33	1089347172	3:2	1
246.105.214.168	13	2051619551	1:10	5
253.53.250.18	62	724329591	4:11	6
159.179.85.140	17	977314920	15:8	3
29.191.128.31	53	436926521	24:9	3
118.135.29.13	69	1811252167	10:4	1
34.193.52.248	95	706125836	13:11	6
1.99.159.148	17	60215590	30:10	6
2.253.232.161	24	2124006097	23:1	8
214.231.10.87	8	865537970	29:10	4
80.82.74.148	86	453062052	12:7	7
5.216.154.167	80	395989998	1:3	1
1.199.125.79	59	254556938	13:6	5
146.157.248.96	58	160095630	20:10	7
64.154.68.247	9	692005654	7:12	8
186.250.95.163	85	984075298	27:8	3
212.10.250.155	74	306730979	25:1	5
58.147.254.136	64	1043266830	2:10	6
253.153.167.108	13	1389801014	11:5	0
26.63.12.75	66	1352275289	4:4	1
210.41.104.104	97	1665341404	25:1	8
17.55.241.15	62	380936977	14:6	5
36.109.218.49	93	758070223	10:5	4
245.143.157.45	54	555018256	9:9	3
196.232.118.161	9	2030192646	23:4	8
213.83.69.83	39	941378334	25:11	0
99.151.41.30	30	573229370	22:1	8
96.204.199.239	85	1744757883	21:10	2
144.51.72.70	81	2077855405	30:4	2
1.93.167.10	63	1204398091	10:6	2
3.124.188.109	23	524952222	21:8	2
214.205.128.224	83	655104377	10:4	6
112.200.223.51	32	942580640	22:1	8
10.97.34.234	94	1854948797	9:6	2
26.167.216.178	1	1228287942	23:2	1
218.225.241.152	27	922368420	4:1	5
150.125.88.114	69	120733723	19:2	4
85.230.126.92	88	1236196872	25:9	2
1.183.145.98	77	326775193	27:2	0
135.108.95.108	18	609341575	14:4	3
8.205.112.234	6	493285457	12:1	0
210.189.66.28	74	101089975	9:9	1
8.160.221.186	43	621261369	15:4	2
178.37.51.254	97	709093866	19:3	7
63.90.24.221	54	797216920	26:9	8
219.60.136.106	8	1611914920	22:11	2
50.219.75.230	5	1457750459	23:3	0
88.33.79.20	59	649182536	30:8	2
52.146.252.191	18	1395056690	1:6	6
113.29.103.78	95	736882702	28:1	6
185.182.120.83	16	901495168	19:11	3
11.30.130.85	83	649334626	21:2	6
49.214.93.217	27	2101294005	26:3	8
245.144.50.144	79	987413977	0:8	8
13.49.135.23	69	1975607341	30:4	3
90.149.93.26	66	926030827	0:4	2
83.87.197.83	72	34926872	29:12	5
181.97.123.62	8	828484146	16:6	1
178.135.230.42	84	1754589261	13:8	3
52.224.195.121	80	929298787	15:8	0
125.222.38.230	96	157163354	6:7	8
10.213.140.240	76	1800676384	25:1	0
195.218.96.65	20	134439808	29:7	8
224.146.236.191	57	328894721	9:10	7
224.49.115.236	10	910226384	9:2	1
61.62.127.219	41	1238669896	12:6	8
152.49.112.132	95	274392159	11:12	7
132.144.74.228	0	259466441	17:9	5
180.29.152.47	37	1249961738	12:10	1
65.159.229.57	65	1595453648	29:1	5
160.154.221.73	98	1323247855	1:2	4
74.179.202.216	38	872373694	19:3	0
193.118.167.172	57	861240161	12:12	7
50.201.71.226	66	1732435044	25:9	4
190.226.185.211	18	184829886	17:6	7
248.222.121.30	53	1439513648	11:9	0
51.227.224.67	59	621707041	16:4	3
253.180.146.219	29	1734911057	20:1	4
96.249.199.117	81	1009498527	15:1	8
115.130.192.166	6	304256053	23:5	7
63.32.217.117	4	1247360079	7:11	5
4.152.184.187	19	1361571278	5:1	6
115.113.54.179	5	1011923454	12:11	2
100.18.38.168	60	553525301	17:2	8
229.2.21.95	4	2018732055	4:11	7
7.206.83.41	94	421188186	0:12	2
120.84.117.78	73	1593546720	10:7	4
159.145.224.173	68	177943454	8:7	8
110.32.46.138	47	524100564	16:1	2
8.106.236.153	62	438870848	4:3	2
215.48.105.71	90	1100493177	7:9	6
142.35.236.49	97	2116089784	14:9	8
254.238.211.177	88	673661371	23:8	3
21.74.136.128	45	977525815	3:3	5
74.243.131.110	10	1737127018	30:6	2
242.69.207.44	88	1439974547	0:4	6
218.46.131.148	62	471125798	29:12	4
223.24.115.200	79	62383909	0:4	8
191.24.113.246	2	330587287	21:6	5
247.99.0.182	17	1426016284	29:10	4
251.192.146.143	54	474400378	23:10	5
5.151.181.177	57	2145301251	20:1	0
142.182.96.188	63	2134084514	22:1	1
161.159.204.64	53	18107726	8:10	8
79.36.164.91	50	326453942	13:8	0
97.153.231.240	2	772620251	2:5	2
204.20.187.55	67	814297864	12:7	8
159.45.237.242	30	2020939140	8:3	5
49.204.220.79	96	1546595992	5:8	3
99.85.181.30	72	249520621	25:11	4
36.251.191.156	3	264612565	18:10	4
100.20.161.232	58	2111722988	12:4	3
34.222.9.97	0	1259876716	14:3	7
1.119.214.39	52	635837937	10:11	2
87.195.117.222	2	1582411525	7:12	8
172.131.33.163	60	836700951	26:9	8
136.43.207.164	56	1340603251	8:8	3
32.182.226.251	74	154738807	30:1	0
241.133.247.190	94	1210703226	0:2	2
5.149.116.53	14	1344107693	25:12	7
14.206.101.198	98	1400865774	28:10	7
164.103.69.20	86	2024469098	0:10	3
79.21.112.33	64	662023828	6:12	8
187.169.33.2	32	446147389	29:10	2
91.222.67.72	73	1137191621	3:12	0
17.212.153.140	96	1753263282	24:3	4
176.1.97.20	36	854704753	11:6	5
215.77.83.11	46	430694961	3:6	6
32.235.16.249	13	821522391	19:11	3
76.10.6.112	25	1924205816	22:9	1
96.254.59.32	74	1313733827	17:11	3
188.146.103.111	74	514099167	13:3	2
109.251.208.17	30	384029152	28:6	5
83.120.12.24	22	83094915	26:9	1
220.229.133.0	27	235047240	18:9	3
108.152.28.173	16	1004967355	29:10	4
4.252.0.126	42	1844641538	4:6	6
97.141.251.159	34	175260225	8:12	5
240.147.112.217	2	752583401	24:6	5
46.87.64.84	62	265585322	2:3	7
91.147.76.36	85	2037326065	12:9	8
253.181.10.97	4	1758452961	28:3	5
208.23.185.175	0	1093769074	30:10	3
237.164.136.17	72	102656370	27:9	8
234.13.143.234	60	912305854	29:2	6
118.224.135.68	81	1051941405	24:5	8
173.24.206.161	76	1024893418	8:6	7
9.153.195.171	32	1085281612	26:10	4
198.72.241.98	51	1375981119	29:11	8
212.247.47.67	88	1962785300	6:12	4
216.206.58.100	7	1413993871	28:1	0
186.203.230.173	1	1775748763	2:8	7
28.20.78.183	57	389279513	12:3	2
239.66.88.11	65	1420969429	17:3	5
165.226.236.110	73	1662759793	1:6	5
171.39.56.102	70	851222965	7:10	1
132.50.145.7	54	1180035435	5:2	0
119.137.182.44	76	1698726903	23:2	0
36.77.40.63	87	461415593	26:3	1
150.19.169.27	24	1944705503	20:11	8
182.155.83.88	24	1828751896	10:3	1
5.35.193.183	64	1855266405	28:6	3
14.122.23.47	63	52015925	15:8	4
20.107.2.47	29	2075380311	16:1	1
16.196.129.237	4	2105874095	24:5	2
37.84.165.166	19	1865136950	11:12	5
224.127.44.245	84	2084141939	26:3	4
38.121.108.153	88	1403932555	19:7	8
11.204.98.197	36	1881469690	5:3	2
32.78.178.61	4	1634921146	11:4	2
91.254.105.219	40	1904742455	20:4	2
169.180.110.3	56	560976486	4:4	5
124.8.129.252	20	2144809505	5:6	2
5.74.140.149	90	139226256	9:6	5
92.94.252.236	30	707210122	11:5	2
59.112.97.56	84	127047626	10:8	4
244.240.50.58	69	614497658	4:1	0
230.17.29.40	0	91172340	5:8	1
144.110.187.38	88	1690871296	16:10	4
69.33.13.176	76	1282278937	18:9	0
31.114.101.204	93	424237807	9:12	4
58.69.17.241	21	1426948886	9:12	3
160.79.214.252	54	268816053	11:4	6
153.244.43.71	12	1484501740	7:3	0
232.127.66.51	54	1062370571	30:12	4
101.138.56.203	98	1904295332	28:11	4
57.137.244.76	8	1006296548	28:7	7
