ip	cid	js	dat	geo
132.205.0.0	60	56385638563638099	23:8	6
211.180.0.0	1	56385638563631722	23:11	3
7.63.1.0	7	56385638563666917	23:10	4
116.146.0.0	10	56385638563622961	23:6	1
3.73.1.0	49	56385638563669505	23:10	5
94.140.0.0	76	56385638563632885	23:7	4
63.252.0.0	14	56385638563649852	23:8	6
92.127.0.0	26	56385638563617997	23:11	7
49.58.1.0	18	56385638563665700	23:5	6
247.36.0.0	93	56385638563594947	23:7	2
68.185.0.0	70	56385638563632885	23:11	4
229.107.1.0	5	56385638563595538	23:10	3
27.13.1.0	12	56385638563654107	23:4	2
33.66.0.0	88	56385638563602351	23:5	9
93.157.0.0	27	56385638563625771	23:6	8
229.107.1.0	5	56385638563678528	23:9	3
97.108.0.0	51	56385638563613128	23:11	0
