Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
40.0,162.0,8594.0,62.42,64.43,34.02
5748.0,29544.0,28420.0,242.35,197.69,32.53
1118.0,3620.0,6.0,33.62,25.21,30.5
8624.0,15500.0,3354.0,34.69,25.24,24.57
428.0,904.0,7532.0,148.65,122.91,113.72
660.0,1764.0,12380.0,150.12,111.3,53.83
5850.0,8726.0,4230.0,27.85,23.8,34.36
180.0,12.0,46.0,80.75,81.78,54.39
86.0,428.0,7254.0,170.02,170.97,40.32
108.0,138.0,0.0,131.53,139.34,50.56
240.0,7714.0,9520.0,74.17,64.72,32.99
74.0,190.0,7974.0,159.65,144.86,58.51
172.0,4090.0,37904.0,140.99,124.75,48.03
990.0,33560.0,770.0,46.88,38.03,29.41
58.0,452.0,602.0,122.35,115.58,44.5
52.0,462.0,6.0,306.96,324.33,261.46
3830.0,18710.0,10230.0,152.72,167.81,42.52
20.0,68.0,14128.0,109.07,99.98,40.67
6968.0,32388.0,45610.0,77.7,72.04,91.65
86.0,142.0,13016.0,170.95,168.01,57.82
39770.0,79940.0,22610.0,109.07,99.98,40.67
1274.0,4232.0,13266.0,77.7,72.04,91.65
22.0,22.0,22.0,170.95,168.01,57.82
