Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,3,4,4
0.0,0.0,0.0,9,6,6
0.0,0.0,0.0,6,6,4
0.0,0.0,0.0,3,3,4
0.0,0.0,0.0,5,6,7
0.0,2.0,0.0,4,5,2
0.0,0.0,0.0,5,1,4
0.0,0.0,0.0,3,3,5
0.0,0.0,0.0,3,3,4
0.0,2.0,0.0,5,5,5
0.0,0.0,0.0,6,5,2
0.0,0.0,0.0,6,6,8
0.0,0.0,0.0,6,5,5
0.0,0.0,0.0,8,5,6
0.0,0.0,0.0,6,4,8
0.0,0.0,0.0,5,7,8
0.0,0.0,0.0,2,3,5
0.0,0.0,0.0,4,8,7
0.0,0.0,0.0,8,12,3
0.0,0.0,0.0,8,3,2
0.0,0.0,0.0,7,4,9
2.0,2.0,2.0,9,5,7
2.0,2.0,2.0,6,6,5
2.0,4.0,2.0,5,7,11
2.0,4.0,2.0,4,4,6
2.0,4.0,2.0,5,5,6
2.0,4.0,2.0,7,6,7
2.0,4.0,2.0,4,4,6
2.0,8.0,2.0,10,8,8
2.0,4.0,2.0,14,12,16
4.0,6.0,4.0,7,10,11
2.0,6.0,2.0,8,10,9
2.0,6.0,2.0,11,10,16
2.0,6.0,2.0,6,7,10
4.0,8.0,4.0,11,12,14
4.0,12.0,4.0,13,16,14
4.0,10.0,4.0,15,13,15
6.0,8.0,6.0,14,14,15
6.0,10.0,6.0,13,16,13
6.0,8.0,6.0,18,18,15
10.0,10.0,10.0,21,19,18
8.0,8.0,8.0,18,18,19
8.0,8.0,8.0,19,24,22
8.0,10.0,8.0,21,24,21
8.0,10.0,8.0,26,21,28
10.0,10.0,10.0,28,30,26
12.0,10.0,12.0,26,32,27
14.0,10.0,14.0,27,28,25
14.0,12.0,14.0,35,33,27
14.0,10.0,14.0,33,33,38
12.0,10.0,12.0,37,39,29
12.0,12.0,12.0,38,41,29
16.0,12.0,16.0,41,43,35
18.0,14.0,16.0,38,48,33
18.0,14.0,16.0,39,45,40
16.0,16.0,16.0,41,38,37
18.0,16.0,18.0,45,29,39
18.0,20.0,18.0,47,27,42
18.0,22.0,20.0,48,24,42
20.0,20.0,20.0,49,22,43
22.0,20.0,20.0,53,22,46
22.0,16.0,24.0,57,28,50
24.0,16.0,26.0,53,32,48
26.0,16.0,26.0,64,37,50
26.0,16.0,28.0,66,38,56
28.0,16.0,30.0,64,40,51
28.0,16.0,32.0,69,44,58
28.0,20.0,30.0,70,47,61
32.0,18.0,34.0,72,49,62
30.0,14.0,30.0,78,49,67
30.0,22.0,34.0,85,51,66
28.0,20.0,36.0,91,57,74
28.0,18.0,40.0,93,57,73
28.0,22.0,44.0,100,61,76
26.0,22.0,44.0,104,68,76
28.0,26.0,46.0,84,69,81
30.0,28.0,48.0,77,63,77
32.0,26.0,50.0,68,69,77
