tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
25.00;317371668#1_1;150.53;14.05;4.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Bus_44;21.00;Bus_44;0;148.58;1.04;0.00;10.48;MotorCycle;;0;0.00
28.00;317371668#1_1;150.53;14.80;6.00;1.00;317371668#1_1;1.95;0.00;tripinfo_Auto_51;22.00;Auto_51;0;148.58;1.17;0.00;11.95;MotorCycle;;1;1.00
34.00;317371668#1_1;150.53;12.69;11.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_95;23.00;Bus_95;0;147.83;1.06;0.00;12.49;Auto;;0;0.00
38.00;317371668#1_1;150.53;12.27;14.00;2.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_103;24.00;MotorCycle_103;0;147.83;0.95;0.00;12.22;Auto;;0;0.00
40.00;317371668#1_1;150.53;12.37;18.00;6.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_104;22.00;MotorCycle_104;0;146.83;0.89;0.00;9.66;Car;;0;0.00
43.00;317371668#1_1;150.53;12.28;22.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Car_187;21.00;Car_187;0;148.58;0.89;0.00;8.29;MotorCycle;;0;0.00
51.00;317371668#1_1;150.53;13.35;30.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Car_246;21.00;Car_246;0;148.58;0.97;0.00;9.96;MotorCycle;;0;0.00
56.00;36897741#0_1;60.96;9.17;0.00;0.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_6;56.00;MotorCycle_6;0;383.46;1.05;0.00;28.27;Auto;;1;3.00
57.00;36897741#0_1;60.96;8.95;4.00;0.00;167456697_1;3.70;0.00;tripinfo_MotorCycle_41;53.00;MotorCycle_41;0;382.46;0.96;0.00;23.14;Car;;0;0.00
58.00;331667964#4_1;46.11;12.82;1.00;0.00;37571582#0_1;1.95;0.00;tripinfo_Auto_17;57.00;Auto_17;0;559.70;0.94;0.00;13.24;MotorCycle;;0;0.00
58.00;317371668#1_1;150.53;13.37;36.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_280;22.00;Auto_280;0;148.58;0.99;0.00;10.77;MotorCycle;;0;0.00
59.00;36897741#0_1;60.96;9.40;9.00;0.00;167456697_1;2.70;0.00;tripinfo_Car_78;50.00;Car_78;0;383.46;1.01;0.00;21.18;Auto;;0;0.00
62.00;317371668#1_1;150.53;13.55;40.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_281;22.00;Auto_281;0;146.83;1.08;0.00;11.58;Car;;0;0.00
