Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
5838.0,8296.0,6436.0,81.59,76.47,38.39
22198.0,44546.0,53326.0,219.81,157.43,31.44
4144.0,11440.0,14408.0,96.91,70.53,47.75
18242.0,32148.0,27820.0,84.64,70.12,29.54
5748.0,25332.0,28518.0,186.37,136.69,48.97
10330.0,23046.0,26156.0,239.64,167.67,58.18
11882.0,19848.0,30100.0,49.64,32.3,22.9
3382.0,9258.0,9008.0,93.64,98.92,46.17
6122.0,19954.0,31158.0,192.9,188.04,27.06
1650.0,9060.0,9516.0,142.29,135.93,30.92
5538.0,18978.0,28016.0,114.86,110.6,96.47
9260.0,11866.0,8064.0,351.37,352.49,222.35
14524.0,39520.0,63128.0,123.99,131.64,31.35
8884.0,12376.0,23814.0,46.08,51.01,33.69
3984.0,8650.0,8492.0,185.64,171.24,135.53
4106.0,5786.0,5140.0,243.2,265.37,284.25
16542.0,32966.0,32118.0,138.44,171.45,46.24
7808.0,22518.0,29172.0,144.49,104.58,42.68
31854.0,53734.0,56516.0,67.72,51.77,45.96
7072.0,19914.0,22498.0,144.15,132.01,36.34
25492.0,46542.0,59316.0,109.07,99.98,40.67
9276.0,20768.0,29222.0,77.7,72.04,91.65
22.0,22.0,22.0,170.95,168.01,57.82
