Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,5.0,5.0,5.0
0.0,20.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,6.0,6.0,6.0
0.0,19.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,26.0,0.0,0.0,0.0
0.0,8.0,25.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,25.0,0.0,0.0,0.0
5.0,0.0,20.0,5.0,5.0,5.0
0.0,0.0,17.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,11.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,3.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,103.0,0.0,0.0,0.0,0.0
0.0,100.0,0.0,0.0,0.0,0.0
0.0,96.0,1.0,0.0,0.0,0.0
0.0,89.0,0.0,0.0,0.0,0.0
0.0,81.0,0.0,0.0,0.0,0.0
0.0,76.0,0.0,0.0,0.0,0.0
0.0,75.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,0.0,0.0,0.0,0.0
0.0,70.0,0.0,0.0,0.0,0.0
0.0,67.0,0.0,0.0,0.0,0.0
0.0,65.0,0.0,0.0,0.0,0.0
0.0,56.0,0.0,0.0,0.0,0.0
0.0,56.0,0.0,0.0,0.0,0.0
0.0,47.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,0.0,0.0,0.0,0.0
0.0,43.0,137.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,34.0,135.0,0.0,0.0,0.0
0.0,33.0,0.0,0.0,0.0,0.0
0.0,32.0,0.0,0.0,0.0,0.0
1.0,29.0,129.0,1.0,1.0,1.0
0.0,29.0,129.0,0.0,0.0,0.0
0.0,27.0,128.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,126.0,0.0,0.0,0.0
0.0,0.0,125.0,0.0,0.0,0.0
0.0,1.0,124.0,0.0,0.0,0.0
0.0,179.0,120.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0
0.0,189.0,118.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,189.0,113.0,0.0,0.0,0.0
0.0,186.0,111.0,0.0,0.0,0.0
0.0,0.0,106.0,0.0,0.0,0.0
0.0,184.0,105.0,0.0,0.0,0.0
0.0,184.0,104.0,0.0,0.0,0.0
0.0,183.0,0.0,0.0,0.0,0.0
0.0,190.0,100.0,0.0,0.0,0.0
0.0,179.0,1.0,0.0,0.0,0.0
1.0,0.0,98.0,1.0,1.0,1.0
56.0,187.0,0.0,56.0,56.0,56.0
22.0,0.0,97.0,22.0,22.0,22.0
38.0,187.0,0.0,38.0,38.0,38.0
46.0,186.0,95.0,46.0,46.0,46.0
34.0,182.0,92.0,34.0,34.0,34.0
47.0,178.0,92.0,47.0,47.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0
16.0,178.0,88.0,16.0,16.0,16.0
31.0,177.0,0.0,31.0,31.0,31.0
0.0,176.0,87.0,0.0,0.0,0.0
4.0,173.0,85.0,4.0,4.0,4.0
4.0,172.0,84.0,4.0,4.0,4.0
34.0,170.0,83.0,34.0,34.0,34.0
52.0,167.0,79.0,52.0,52.0,52.0
36.0,167.0,78.0,36.0,36.0,36.0
49.0,0.0,0.0,49.0,49.0,49.0
37.0,163.0,0.0,37.0,37.0,37.0
2.0,160.0,173.0,2.0,2.0,2.0
30.0,159.0,171.0,30.0,30.0,30.0
0.0,158.0,0.0,0.0,0.0,0.0
31.0,157.0,80.0,31.0,31.0,31.0
14.0,0.0,1.0,14.0,14.0,14.0
0.0,148.0,0.0,0.0,0.0,0.0
52.0,155.0,176.0,52.0,52.0,52.0
51.0,152.0,0.0,51.0,51.0,51.0
11.0,140.0,171.0,11.0,11.0,11.0
0.0,151.0,0.0,0.0,0.0,0.0
39.0,149.0,0.0,39.0,39.0,39.0
13.0,135.0,0.0,13.0,13.0,13.0
5.0,149.0,0.0,5.0,5.0,5.0
11.0,146.0,0.0,11.0,11.0,11.0
43.0,128.0,0.0,43.0,43.0,43.0
48.0,127.0,0.0,48.0,48.0,48.0
0.0,128.0,0.0,0.0,0.0,0.0
0.0,127.0,0.0,0.0,0.0,0.0
62.0,126.0,0.0,62.0,62.0,62.0
64.0,125.0,0.0,64.0,64.0,64.0
47.0,124.0,0.0,47.0,47.0,47.0
11.0,0.0,167.0,11.0,11.0,11.0
0.0,216.0,0.0,0.0,0.0,0.0
42.0,228.0,166.0,42.0,42.0,42.0
46.0,198.0,164.0,46.0,46.0,46.0
12.0,192.0,0.0,12.0,12.0,12.0
0.0,187.0,0.0,0.0,0.0,0.0
29.0,209.0,162.0,29.0,29.0,29.0
0.0,188.0,163.0,0.0,0.0,0.0
40.0,168.0,0.0,40.0,40.0,40.0
27.0,220.0,161.0,27.0,27.0,27.0
38.0,167.0,158.0,38.0,38.0,38.0
7.0,218.0,158.0,7.0,7.0,7.0
23.0,214.0,160.0,23.0,23.0,23.0
0.0,208.0,156.0,0.0,0.0,0.0
22.0,152.0,156.0,22.0,22.0,22.0
0.0,150.0,152.0,0.0,0.0,0.0
0.0,0.0,150.0,0.0,0.0,0.0
43.0,206.0,148.0,43.0,43.0,43.0
42.0,149.0,0.0,42.0,42.0,42.0
36.0,149.0,156.0,36.0,36.0,36.0
0.0,0.0,146.0,0.0,0.0,0.0
0.0,114.0,143.0,0.0,0.0,0.0
43.0,204.0,181.0,43.0,43.0,43.0
38.0,113.0,144.0,38.0,38.0,38.0
0.0,198.0,1.0,0.0,0.0,0.0
11.0,93.0,180.0,11.0,11.0,11.0
34.0,0.0,153.0,34.0,34.0,34.0
16.0,80.0,139.0,16.0,16.0,16.0
27.0,75.0,178.0,27.0,27.0,27.0
0.0,0.0,147.0,0.0,0.0,0.0
42.0,56.0,138.0,42.0,42.0,42.0
22.0,52.0,170.0,22.0,22.0,22.0
0.0,246.0,137.0,0.0,0.0,0.0
39.0,0.0,145.0,39.0,39.0,39.0
0.0,213.0,0.0,0.0,0.0,0.0
20.0,51.0,141.0,20.0,20.0,20.0
8.0,48.0,167.0,8.0,8.0,8.0
0.0,47.0,136.0,0.0,0.0,0.0
0.0,238.0,0.0,0.0,0.0,0.0
0.0,46.0,166.0,0.0,0.0,0.0
33.0,43.0,133.0,33.0,33.0,33.0
44.0,41.0,135.0,44.0,44.0,44.0
12.0,265.0,163.0,12.0,12.0,12.0
1.0,263.0,130.0,1.0,1.0,1.0
62.0,250.0,0.0,62.0,62.0,62.0
1.0,245.0,132.0,1.0,1.0,1.0
14.0,0.0,129.0,14.0,14.0,14.0
0.0,268.0,125.0,0.0,0.0,0.0
18.0,238.0,122.0,18.0,18.0,18.0
0.0,236.0,122.0,0.0,0.0,0.0
20.0,0.0,121.0,20.0,20.0,20.0
0.0,213.0,124.0,0.0,0.0,0.0
13.0,256.0,121.0,13.0,13.0,13.0
0.0,207.0,0.0,0.0,0.0,0.0
0.0,202.0,119.0,0.0,0.0,0.0
0.0,192.0,120.0,0.0,0.0,0.0
0.0,252.0,0.0,0.0,0.0,0.0
0.0,192.0,114.0,0.0,0.0,0.0
0.0,182.0,119.0,0.0,0.0,0.0
0.0,245.0,117.0,0.0,0.0,0.0
0.0,186.0,112.0,0.0,0.0,0.0
0.0,234.0,0.0,0.0,0.0,0.0
0.0,183.0,111.0,0.0,0.0,0.0
21.0,232.0,110.0,21.0,21.0,21.0
17.0,0.0,234.0,17.0,17.0,17.0
22.0,0.0,109.0,22.0,22.0,22.0
28.0,172.0,109.0,28.0,28.0,28.0
0.0,181.0,108.0,0.0,0.0,0.0
24.0,0.0,0.0,24.0,24.0,24.0
18.0,149.0,108.0,18.0,18.0,18.0
26.0,238.0,222.0,26.0,26.0,26.0
13.0,178.0,105.0,13.0,13.0,13.0
0.0,0.0,104.0,0.0,0.0,0.0
0.0,236.0,104.0,0.0,0.0,0.0
33.0,0.0,104.0,33.0,33.0,33.0
0.0,362.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,35.0,35.0,35.0
12.0,356.0,0.0,12.0,12.0,12.0
0.0,352.0,222.0,0.0,0.0,0.0
0.0,348.0,1.0,0.0,0.0,0.0
0.0,300.0,217.0,0.0,0.0,0.0
57.0,343.0,0.0,57.0,57.0,57.0
35.0,0.0,252.0,35.0,35.0,35.0
34.0,318.0,0.0,34.0,34.0,34.0
19.0,282.0,215.0,19.0,19.0,19.0
15.0,278.0,244.0,15.0,15.0,15.0
0.0,325.0,243.0,0.0,0.0,0.0
0.0,277.0,0.0,0.0,0.0,0.0
37.0,,255.0,37.0,37.0,37.0
7.0,,236.0,7.0,7.0,7.0
24.0,,243.0,24.0,24.0,24.0
13.0,,233.0,13.0,13.0,13.0
51.0,,0.0,51.0,51.0,51.0
0.0,,227.0,0.0,0.0,0.0
0.0,,244.0,0.0,0.0,0.0
0.0,,238.0,0.0,0.0,0.0
52.0,,226.0,52.0,52.0,52.0
27.0,,209.0,27.0,27.0,27.0
48.0,,238.0,48.0,48.0,48.0
34.0,,0.0,34.0,34.0,34.0
27.0,,204.0,27.0,27.0,27.0
0.0,,236.0,0.0,0.0,0.0
9.0,,0.0,9.0,9.0,9.0
34.0,,207.0,34.0,34.0,34.0
0.0,,232.0,0.0,0.0,0.0
30.0,,219.0,30.0,30.0,30.0
26.0,,226.0,26.0,26.0,26.0
19.0,,228.0,19.0,19.0,19.0
7.0,,0.0,7.0,7.0,7.0
28.0,,225.0,28.0,28.0,28.0
30.0,,0.0,30.0,30.0,30.0
29.0,,225.0,29.0,29.0,29.0
16.0,,224.0,16.0,16.0,16.0
0.0,,221.0,0.0,0.0,0.0
0.0,,278.0,0.0,0.0,0.0
21.0,,0.0,21.0,21.0,21.0
31.0,,0.0,31.0,31.0,31.0
4.0,,219.0,4.0,4.0,4.0
0.0,,218.0,0.0,0.0,0.0
29.0,,214.0,29.0,29.0,29.0
16.0,,210.0,16.0,16.0,16.0
0.0,,0.0,0.0,0.0,0.0
