tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
25.00;317371668#1_1;150.53;14.05;4.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Bus_44;21.00;Bus_44;0;148.58;1.04;0.00;10.48;MotorCycle;;0;0.00
28.00;317371668#1_1;150.53;14.80;6.00;1.00;317371668#1_1;1.95;0.00;tripinfo_Auto_51;22.00;Auto_51;0;148.58;1.17;0.00;11.95;MotorCycle;;1;1.00
34.00;317371668#1_1;150.53;12.47;11.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_95;23.00;Bus_95;0;147.83;1.06;0.00;12.50;Auto;;0;0.00
38.00;317371668#1_1;150.53;12.60;14.00;2.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_103;24.00;MotorCycle_103;0;147.83;0.95;0.00;12.09;Auto;;0;0.00
40.00;317371668#1_1;150.53;12.24;18.00;6.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_104;22.00;MotorCycle_104;0;146.83;0.89;0.00;9.59;Car;;0;0.00
43.00;317371668#1_1;150.53;11.95;22.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Car_187;21.00;Car_187;0;148.58;0.89;0.00;8.59;MotorCycle;;0;0.00
52.00;317371668#1_1;150.53;13.24;30.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Car_246;22.00;Car_246;0;148.58;0.97;0.00;10.04;MotorCycle;;0;0.00
58.00;331667964#4_1;46.11;12.88;1.00;0.00;37571582#0_1;1.95;0.00;tripinfo_Auto_17;57.00;Auto_17;0;559.70;0.94;0.00;13.34;MotorCycle;;0;0.00
58.00;317371668#1_1;150.53;13.70;36.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_280;22.00;Auto_280;0;148.58;0.99;0.00;10.56;MotorCycle;;0;0.00
62.00;317371668#1_1;150.53;13.86;40.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_281;22.00;Auto_281;0;146.83;1.08;0.00;11.33;Car;;0;0.00
66.00;317371668#1_1;150.53;13.99;43.00;6.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_293;23.00;MotorCycle_293;0;146.83;1.14;0.00;13.07;Car;;1;1.00
82.00;317371668#1_1;150.53;12.25;59.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_443;23.00;Bus_443;0;147.83;1.24;0.00;13.60;Auto;;0;0.00
84.00;317371668#1_1;150.53;12.48;62.00;3.00;317371668#1_1;1.95;0.00;tripinfo_Bus_444;22.00;Bus_444;0;148.58;0.96;0.00;10.27;MotorCycle;;0;0.00
