Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0
0.0,0.0,13.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0
1.0,29.0,6.0,1.0,1.0,1.0
0.0,26.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0
0.0,23.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,0.0,0.0,0.0,0.0
0.0,19.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,6.0,6.0,6.0
7.0,0.0,0.0,7.0,7.0,7.0
2.0,0.0,44.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,43.0,11.0,11.0,11.0
0.0,0.0,43.0,0.0,0.0,0.0
0.0,0.0,26.0,0.0,0.0,0.0
1.0,27.0,0.0,1.0,1.0,1.0
0.0,34.0,38.0,0.0,0.0,0.0
0.0,20.0,27.0,0.0,0.0,0.0
0.0,1.0,35.0,0.0,0.0,0.0
0.0,19.0,32.0,0.0,0.0,0.0
0.0,26.0,28.0,0.0,0.0,0.0
0.0,0.0,16.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0
0.0,16.0,0.0,0.0,0.0,0.0
0.0,25.0,0.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,0.0,0.0
0.0,20.0,36.0,0.0,0.0,0.0
17.0,0.0,34.0,17.0,17.0,17.0
2.0,0.0,26.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,23.0,1.0,1.0,1.0
0.0,0.0,14.0,0.0,0.0,0.0
0.0,5.0,13.0,0.0,0.0,0.0
0.0,7.0,12.0,0.0,0.0,0.0
0.0,4.0,16.0,0.0,0.0,0.0
3.0,40.0,33.0,3.0,3.0,3.0
0.0,0.0,15.0,0.0,0.0,0.0
0.0,41.0,31.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,0.0,0.0
6.0,39.0,27.0,6.0,6.0,6.0
27.0,40.0,23.0,27.0,27.0,27.0
0.0,10.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.0,2.0,0.0,0.0,0.0
30.0,8.0,14.0,30.0,30.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0
31.0,0.0,0.0,31.0,31.0,31.0
0.0,38.0,0.0,0.0,0.0,0.0
2.0,37.0,0.0,2.0,2.0,2.0
0.0,79.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
11.0,28.0,0.0,11.0,11.0,11.0
0.0,77.0,27.0,0.0,0.0,0.0
0.0,27.0,26.0,0.0,0.0,0.0
7.0,76.0,24.0,7.0,7.0,7.0
0.0,21.0,25.0,0.0,0.0,0.0
0.0,74.0,0.0,0.0,0.0,0.0
0.0,63.0,21.0,0.0,0.0,0.0
0.0,40.0,0.0,0.0,0.0,0.0
5.0,62.0,0.0,5.0,5.0,5.0
0.0,33.0,0.0,0.0,0.0,0.0
0.0,62.0,26.0,0.0,0.0,0.0
0.0,2.0,61.0,0.0,0.0,0.0
0.0,35.0,24.0,0.0,0.0,0.0
3.0,0.0,58.0,3.0,3.0,3.0
2.0,1.0,25.0,2.0,2.0,2.0
1.0,26.0,55.0,1.0,1.0,1.0
0.0,61.0,25.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0
11.0,15.0,0.0,11.0,11.0,11.0
0.0,22.0,53.0,0.0,0.0,0.0
0.0,4.0,50.0,0.0,0.0,0.0
0.0,15.0,18.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
1.0,4.0,47.0,1.0,1.0,1.0
0.0,0.0,49.0,0.0,0.0,0.0
0.0,0.0,18.0,0.0,0.0,0.0
0.0,0.0,48.0,0.0,0.0,0.0
0.0,0.0,45.0,0.0,0.0,0.0
0.0,53.0,42.0,0.0,0.0,0.0
3.0,44.0,40.0,3.0,3.0,3.0
0.0,50.0,0.0,0.0,0.0,0.0
0.0,43.0,41.0,0.0,0.0,0.0
0.0,0.0,42.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,44.0,0.0,0.0,0.0,0.0
1.0,41.0,41.0,1.0,1.0,1.0
0.0,0.0,64.0,0.0,0.0,0.0
0.0,39.0,40.0,0.0,0.0,0.0
0.0,12.0,53.0,0.0,0.0,0.0
0.0,37.0,0.0,0.0,0.0,0.0
0.0,26.0,48.0,0.0,0.0,0.0
0.0,11.0,35.0,0.0,0.0,0.0
0.0,34.0,49.0,0.0,0.0,0.0
0.0,33.0,57.0,0.0,0.0,0.0
0.0,91.0,47.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0
0.0,31.0,47.0,0.0,0.0,0.0
13.0,90.0,0.0,13.0,13.0,13.0
0.0,30.0,37.0,0.0,0.0,0.0
15.0,29.0,36.0,15.0,15.0,15.0
14.0,15.0,25.0,14.0,14.0,14.0
11.0,25.0,44.0,11.0,11.0,11.0
0.0,0.0,46.0,0.0,0.0,0.0
25.0,6.0,42.0,25.0,25.0,25.0
0.0,24.0,39.0,0.0,0.0,0.0
0.0,41.0,0.0,0.0,0.0,0.0
16.0,68.0,42.0,16.0,16.0,16.0
0.0,22.0,0.0,0.0,0.0,0.0
0.0,38.0,42.0,0.0,0.0,0.0
1.0,21.0,31.0,1.0,1.0,1.0
0.0,35.0,55.0,0.0,0.0,0.0
11.0,0.0,36.0,11.0,11.0,11.0
18.0,96.0,42.0,18.0,18.0,18.0
0.0,50.0,40.0,0.0,0.0,0.0
0.0,12.0,43.0,0.0,0.0,0.0
0.0,10.0,49.0,0.0,0.0,0.0
0.0,0.0,17.0,0.0,0.0,0.0
0.0,36.0,0.0,0.0,0.0,0.0
9.0,21.0,46.0,9.0,9.0,9.0
0.0,43.0,0.0,0.0,0.0,0.0
0.0,15.0,45.0,0.0,0.0,0.0
11.0,0.0,44.0,11.0,11.0,11.0
0.0,83.0,44.0,0.0,0.0,0.0
0.0,37.0,95.0,0.0,0.0,0.0
10.0,33.0,0.0,10.0,10.0,10.0
0.0,39.0,40.0,0.0,0.0,0.0
18.0,34.0,0.0,18.0,18.0,18.0
0.0,33.0,78.0,0.0,0.0,0.0
0.0,19.0,76.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,0.0,0.0
0.0,50.0,78.0,0.0,0.0,0.0
0.0,23.0,75.0,0.0,0.0,0.0
0.0,38.0,64.0,0.0,0.0,0.0
8.0,19.0,57.0,8.0,8.0,8.0
0.0,85.0,72.0,0.0,0.0,0.0
7.0,40.0,55.0,7.0,7.0,7.0
5.0,13.0,0.0,5.0,5.0,5.0
0.0,82.0,57.0,0.0,0.0,0.0
0.0,74.0,62.0,0.0,0.0,0.0
0.0,38.0,0.0,0.0,0.0,0.0
0.0,33.0,39.0,0.0,0.0,0.0
0.0,85.0,0.0,0.0,0.0,0.0
0.0,32.0,61.0,0.0,0.0,0.0
0.0,77.0,60.0,0.0,0.0,0.0
0.0,69.0,0.0,0.0,0.0,0.0
8.0,39.0,20.0,8.0,8.0,8.0
0.0,94.0,75.0,0.0,0.0,0.0
2.0,36.0,72.0,2.0,2.0,2.0
8.0,22.0,33.0,8.0,8.0,8.0
0.0,28.0,31.0,0.0,0.0,0.0
14.0,21.0,89.0,14.0,14.0,14.0
0.0,41.0,56.0,0.0,0.0,0.0
0.0,33.0,53.0,0.0,0.0,0.0
0.0,45.0,0.0,0.0,0.0,0.0
0.0,131.0,66.0,0.0,0.0,0.0
21.0,24.0,64.0,21.0,21.0,21.0
0.0,103.0,84.0,0.0,0.0,0.0
0.0,125.0,70.0,0.0,0.0,0.0
0.0,101.0,49.0,0.0,0.0,0.0
6.0,91.0,61.0,6.0,6.0,6.0
1.0,124.0,48.0,1.0,1.0,1.0
20.0,23.0,74.0,20.0,20.0,20.0
0.0,86.0,75.0,0.0,0.0,0.0
0.0,120.0,26.0,0.0,0.0,0.0
0.0,21.0,48.0,0.0,0.0,0.0
0.0,0.0,73.0,0.0,0.0,0.0
27.0,104.0,61.0,27.0,27.0,27.0
15.0,37.0,0.0,15.0,15.0,15.0
5.0,19.0,64.0,5.0,5.0,5.0
0.0,35.0,35.0,0.0,0.0,0.0
0.0,19.0,73.0,0.0,0.0,0.0
6.0,35.0,0.0,6.0,6.0,6.0
0.0,56.0,66.0,0.0,0.0,0.0
20.0,63.0,0.0,20.0,20.0,20.0
0.0,50.0,127.0,0.0,0.0,0.0
0.0,87.0,51.0,0.0,0.0,0.0
0.0,64.0,76.0,0.0,0.0,0.0
0.0,31.0,29.0,0.0,0.0,0.0
0.0,50.0,76.0,0.0,0.0,0.0
0.0,0.0,126.0,0.0,0.0,0.0
0.0,109.0,72.0,0.0,0.0,0.0
28.0,124.0,72.0,28.0,28.0,28.0
0.0,103.0,126.0,0.0,0.0,0.0
10.0,0.0,66.0,10.0,10.0,10.0
5.0,143.0,0.0,5.0,5.0,5.0
4.0,48.0,55.0,4.0,4.0,4.0
0.0,111.0,124.0,0.0,0.0,0.0
0.0,68.0,60.0,0.0,0.0,0.0
0.0,91.0,73.0,0.0,0.0,0.0
0.0,65.0,95.0,0.0,0.0,0.0
0.0,46.0,54.0,0.0,0.0,0.0
0.0,79.0,93.0,0.0,0.0,0.0
3.0,54.0,71.0,3.0,3.0,3.0
0.0,39.0,63.0,0.0,0.0,0.0
16.0,41.0,92.0,16.0,16.0,16.0
0.0,0.0,59.0,0.0,0.0,0.0
1.0,45.0,0.0,1.0,1.0,1.0
10.0,129.0,90.0,10.0,10.0,10.0
4.0,130.0,56.0,4.0,4.0,4.0
0.0,9.0,1.0,0.0,0.0,0.0
23.0,37.0,89.0,23.0,23.0,23.0
0.0,0.0,70.0,0.0,0.0,0.0
0.0,139.0,109.0,0.0,0.0,0.0
0.0,134.0,87.0,0.0,0.0,0.0
1.0,36.0,108.0,1.0,1.0,1.0
4.0,36.0,69.0,4.0,4.0,4.0
0.0,120.0,1.0,0.0,0.0,0.0
6.0,78.0,88.0,6.0,6.0,6.0
14.0,133.0,61.0,14.0,14.0,14.0
0.0,129.0,84.0,0.0,0.0,0.0
20.0,128.0,67.0,20.0,20.0,20.0
0.0,126.0,86.0,0.0,0.0,0.0
13.0,112.0,84.0,13.0,13.0,13.0
0.0,125.0,0.0,0.0,0.0,0.0
0.0,124.0,1.0,0.0,0.0,0.0
