Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
996.0,338.0,1450.0,62.42,64.43,34.02
7168.0,22762.0,39540.0,242.35,197.69,32.53
1094.0,5168.0,11482.0,33.62,25.21,30.5
2160.0,25556.0,21238.0,34.69,25.24,24.57
340.0,790.0,10114.0,148.65,122.91,113.72
1808.0,9172.0,24900.0,150.12,111.3,53.83
3368.0,6556.0,12854.0,27.85,23.8,34.36
288.0,506.0,2014.0,80.75,81.78,54.39
1588.0,4210.0,12368.0,170.02,170.97,40.32
256.0,996.0,2116.0,131.53,139.34,50.56
2138.0,5816.0,12970.0,74.17,64.72,32.99
538.0,1054.0,682.0,159.65,144.86,58.51
1768.0,8572.0,34120.0,140.99,124.75,48.03
1058.0,26242.0,30098.0,46.88,38.03,29.41
254.0,1034.0,2072.0,122.35,115.58,44.5
336.0,888.0,1844.0,306.96,324.33,261.46
5500.0,25020.0,22872.0,152.72,167.81,42.52
22.0,48.0,42.0,109.07,99.98,40.67
8784.0,34482.0,39594.0,77.7,72.04,91.65
526.0,258.0,1144.0,170.95,168.01,57.82
53484.0,62678.0,72670.0,109.07,99.98,40.67
2186.0,4418.0,17384.0,77.7,72.04,91.65
22.0,22.0,22.0,170.95,168.01,57.82
