Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,3,4,4
0.0,0.0,0.0,9,6,6
0.0,0.0,0.0,6,6,4
0.0,0.0,0.0,3,3,4
0.0,0.0,0.0,5,6,7
0.0,2.0,0.0,4,5,2
0.0,0.0,0.0,5,1,4
0.0,0.0,0.0,3,3,5
0.0,0.0,0.0,3,3,4
0.0,2.0,0.0,5,5,5
0.0,0.0,0.0,6,5,2
0.0,0.0,2.0,6,6,8
0.0,0.0,0.0,6,5,5
0.0,0.0,2.0,8,5,6
0.0,0.0,0.0,6,4,8
0.0,0.0,0.0,5,7,8
0.0,0.0,0.0,2,3,5
0.0,0.0,0.0,4,8,7
0.0,0.0,0.0,8,12,3
0.0,0.0,0.0,8,3,2
0.0,0.0,0.0,7,4,9
2.0,2.0,0.0,9,5,7
2.0,4.0,4.0,6,6,5
4.0,6.0,4.0,5,8,11
4.0,8.0,4.0,4,6,6
4.0,8.0,6.0,5,4,6
6.0,12.0,6.0,7,6,7
10.0,12.0,6.0,4,3,6
10.0,14.0,12.0,9,9,8
10.0,16.0,16.0,14,11,16
16.0,20.0,20.0,6,8,11
16.0,20.0,18.0,7,10,9
20.0,20.0,26.0,10,8,15
20.0,26.0,30.0,5,6,8
24.0,30.0,32.0,8,10,10
24.0,36.0,34.0,9,13,13
26.0,36.0,36.0,10,12,12
28.0,36.0,42.0,10,12,14
28.0,38.0,46.0,10,12,10
28.0,38.0,46.0,14,12,12
32.0,42.0,52.0,17,16,9
32.0,46.0,58.0,14,10,10
32.0,48.0,58.0,11,15,15
32.0,54.0,60.0,12,16,15
32.0,54.0,66.0,18,16,18
34.0,58.0,68.0,16,19,24
38.0,60.0,74.0,17,15,26
42.0,64.0,80.0,15,15,19
44.0,66.0,84.0,19,20,22
52.0,66.0,92.0,19,18,29
52.0,72.0,94.0,20,17,23
54.0,74.0,94.0,23,23,27
48.0,62.0,88.0,19,21,28
48.0,58.0,80.0,18,19,24
42.0,54.0,74.0,19,15,25
36.0,50.0,72.0,15,16,32
38.0,48.0,66.0,21,16,28
38.0,46.0,62.0,22,18,28
36.0,44.0,58.0,24,19,28
36.0,40.0,60.0,21,20,31
38.0,34.0,60.0,31,17,33
40.0,34.0,56.0,31,18,30
40.0,32.0,60.0,28,21,33
44.0,34.0,64.0,40,27,33
44.0,34.0,64.0,34,26,30
48.0,38.0,68.0,34,24,30
50.0,40.0,68.0,38,31,29
50.0,42.0,74.0,37,34,37
52.0,44.0,76.0,38,37,34
52.0,46.0,84.0,43,41,38
52.0,40.0,82.0,45,38,39
50.0,42.0,82.0,48,34,33
52.0,44.0,86.0,48,40,27
52.0,44.0,84.0,49,41,29
52.0,48.0,86.0,50,46,35
54.0,58.0,88.0,51,41,34
56.0,60.0,94.0,48,38,30
56.0,66.0,96.0,53,44,30
