----------------------------------------------------Case1High------------------------------------------------------
0.0,0.0,0.0,0.0,0.15,Fixed-Time20-Case1High
0.0,0.0,0.0,0.0,0.15,Actuated20-Case1High
0.0,0.0,0.0,0.0,0.15,UppaalStratego20-Case1High
0.0,0.0,0.0,0.0,0.15,Intelligent20-Case1High
0.0,0.01,0.0,0.0,0.15,CoordinatedIntelligent20-Case1High
----------------------------------------------------Case1High------------------------------------------------------
0.15,2.55,0.13,8.04,6.21,Fixed-Time900-Case1High
0.25,4.49,0.23,14.24,8.28,Actuated900-Case1High
0.36,6.48,0.33,21.32,7.73,UppaalStratego900-Case1High
0.46,8.28,0.41,28.5,7.6,Intelligent900-Case1High
0.56,10.11,0.5,35.86,7.39,CoordinatedIntelligent900-Case1High
----------------------------------------------------Case1High------------------------------------------------------
51401.83,925229.41,167.21,2816.47,4.83,Fixed-Time500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
47907.79,841331.46,162.34,2556.54,4.29,Actuated500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
34161.58,682406.55,103.77,2200.11,7.06,UppaalStratego500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
32987.01,662666.0,97.08,2356.64,6.88,Intelligent500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
31912.41,644919.78,93.22,2297.69,6.9,CoordinatedIntelligent500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
37528.74,659803.33,127.03,2104.11,3.3,Actuated500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
20525.78,370631.99,68.74,1153.37,2.36,Actuated500-Case1High
----------------------------------------------------Case1High------------------------------------------------------
----------------------------------------------------Case1High------------------------------------------------------
----------------------------------------------------Case1High------------------------------------------------------
----------------------------------------------------Case1High------------------------------------------------------
8947.34,218765.52,25.69,500.19,4.53,CoordinatedIntelligent_1500-Case1High
