Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
426.0,208.0,7186.0,47.5,54.42,44.5
7086.0,28168.0,33430.0,109.69,77.7,36.93
1314.0,6982.0,6792.0,27.87,28.79,21.95
5698.0,15438.0,24696.0,35.72,28.69,20.52
344.0,1280.0,7690.0,46.52,39.21,39.12
720.0,8226.0,26164.0,45.65,42.96,46.31
2690.0,16050.0,20562.0,27.34,28.47,18.34
320.0,498.0,1518.0,75.08,69.99,59.4
492.0,5704.0,7054.0,150.34,137.41,114.77
106.0,844.0,2462.0,86.54,92.51,52.46
1096.0,4322.0,13194.0,52.36,58.96,34.38
992.0,2232.0,224.0,161.95,171.76,60.2
548.0,14676.0,21894.0,105.8,96.39,61.99
1758.0,17132.0,24380.0,41.53,36.61,24.05
208.0,534.0,1264.0,103.5,67.91,26.57
130.0,574.0,1614.0,446.03,328.19,165.28
3386.0,22214.0,22156.0,184.06,147.29,24.1
18.0,82.0,398.0,93.45,93.02,70.6
7644.0,24520.0,30732.0,55.58,62.35,31.74
76.0,304.0,1688.0,132.45,120.36,62.39
54124.0,53552.0,62960.0,109.07,99.98,40.67
1912.0,6944.0,17536.0,77.7,72.04,91.65
22.0,22.0,22.0,170.95,168.01,57.82
