Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,3,4,4
0.0,0.0,0.0,9,6,6
0.0,0.0,0.0,6,6,4
0.0,0.0,0.0,3,3,4
0.0,0.0,0.0,5,6,7
0.0,2.0,0.0,4,5,2
0.0,0.0,0.0,5,1,4
0.0,0.0,0.0,3,3,5
0.0,0.0,0.0,3,3,4
0.0,2.0,0.0,5,5,5
0.0,0.0,0.0,6,5,2
0.0,0.0,2.0,6,6,8
0.0,0.0,0.0,6,5,5
0.0,0.0,2.0,8,5,6
0.0,0.0,0.0,6,4,8
0.0,0.0,0.0,5,7,8
0.0,0.0,0.0,2,3,5
0.0,0.0,0.0,4,8,7
0.0,0.0,0.0,9,12,3
0.0,0.0,0.0,9,3,2
0.0,0.0,0.0,7,4,10
2.0,2.0,0.0,11,5,8
2.0,4.0,4.0,8,5,6
2.0,6.0,4.0,9,6,9
2.0,8.0,4.0,6,4,3
2.0,8.0,6.0,7,4,3
2.0,12.0,6.0,10,5,5
2.0,12.0,6.0,8,3,5
2.0,14.0,12.0,13,6,5
2.0,16.0,16.0,16,10,13
4.0,20.0,20.0,11,8,7
4.0,20.0,18.0,12,9,6
4.0,20.0,26.0,15,7,11
2.0,26.0,30.0,11,4,5
4.0,30.0,32.0,11,8,6
4.0,36.0,34.0,12,9,9
4.0,36.0,36.0,15,7,8
6.0,36.0,42.0,14,10,9
6.0,38.0,46.0,14,10,7
8.0,38.0,46.0,18,11,9
10.0,42.0,52.0,19,10,9
10.0,46.0,58.0,19,11,8
10.0,48.0,58.0,22,15,12
10.0,54.0,60.0,23,16,8
8.0,54.0,66.0,23,10,11
10.0,58.0,68.0,19,16,16
12.0,60.0,74.0,18,14,10
14.0,64.0,80.0,19,11,7
14.0,66.0,84.0,25,14,9
16.0,66.0,92.0,25,12,20
14.0,72.0,94.0,26,15,13
12.0,74.0,94.0,26,15,12
16.0,62.0,88.0,23,15,18
18.0,58.0,80.0,21,16,11
18.0,54.0,74.0,16,12,15
20.0,50.0,72.0,16,16,16
20.0,46.0,66.0,19,17,16
20.0,44.0,62.0,21,16,16
20.0,42.0,56.0,22,21,17
20.0,42.0,58.0,22,19,21
22.0,40.0,54.0,27,20,23
22.0,42.0,56.0,27,27,26
22.0,44.0,62.0,23,34,28
26.0,46.0,64.0,33,39,33
28.0,48.0,62.0,28,38,32
30.0,50.0,64.0,27,27,30
30.0,52.0,62.0,27,28,29
30.0,52.0,64.0,25,30,32
28.0,50.0,64.0,32,28,32
26.0,56.0,68.0,33,28,39
24.0,54.0,66.0,42,32,35
24.0,54.0,74.0,36,36,34
28.0,56.0,82.0,36,36,33
30.0,60.0,80.0,46,38,37
32.0,62.0,82.0,44,45,39
34.0,66.0,80.0,46,47,41
36.0,68.0,78.0,45,43,31
38.0,62.0,74.0,48,45,29
